flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,question_text,score,satisfaction_type,driver_sub_group1,driver_sub_group2,arrival_delay_minutes,arrival_delay_group,cabin_code_desc,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
118,SPX,GUX,IRXXTF,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-19,Early & Ontime,Economy,Economy,Pacific,1,90+,,Gen Z,B737-800,Mainline,73U,UA,129,Short,6,10,International,non-member,THALES,spoke departure
4748,GRX,ORX,B9XXXS,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-11,Early & Ontime,Economy,Economy,Domestic,2,90+,,Boomer,CRJ-200,Express,CRJ,UAX,137,Short,B3,F23,Domestic,non-member,N/A,spoke departure
5387,ORX,MLX,IWXX3X,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-12,Early & Ontime,Business,,Domestic,2,90+,non-elite,Boomer,ERJ-175,Express,E75,UAX,139,Short,F10,,Domestic,member,GOGO,hub departure
1646,IAX,AUX,MMXXPM,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Economy,Economy Plus,Domestic,2,0 to 70,premier platinum,Boomer,B737-800,Mainline,73Y,UA,141,Short,C45,27,Domestic,member,THALES,hub departure
2102,AUX,IAX,BLXXLB,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-13,Early & Ontime,Economy,Economy,Domestic,2,90+,,Silent,A320-200,Mainline,20S,UA,141,Short,25,C37,Domestic,non-member,PANASONIC,spoke departure
4749,HDX,DEX,LRXXD6,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,15,Delayed,Economy,Economy,Domestic,2,90+,non-elite,Boomer,ERJ-175,Express,E7Q,UAX,142,Short,3,A77,Domestic,member,GOGO,spoke departure
4176,ALX,EWX,AFXX8D,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,46,Delayed,Economy,Economy,Domestic,2,90+,non-elite,Boomer,CRJ-550,Express,C5G,UAX,143,Short,A4,A28,Domestic,member,GOGO,spoke departure
4176,ALX,EWX,P6XXLP,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,46,Delayed,Economy,Economy,Domestic,2,90+,,Boomer,CRJ-550,Express,C5G,UAX,143,Short,A4,A28,Domestic,non-member,GOGO,spoke departure
4438,ALX,EWX,BCXXBY,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,Business,,Domestic,2,90+,premier 1k,Gen X,CRJ-550,Express,C5G,UAX,143,Short,A4,A27A,Domestic,member,GOGO,spoke departure
5383,GUX,DEX,H5XXSF,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-22,Early & Ontime,Business,,Domestic,2,0 to 70,premier gold,Silent,CRJ-700,Express,CR7,UAX,152,Short,,B89,Domestic,member,GOGO,spoke departure
3632,ORX,INX,A0XXRT,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-27,Early & Ontime,Economy,Economy,Domestic,2,90+,non-elite,Gen X,ERJ-170,Express,E7R,UAX,177,Short,C7,A24,Domestic,member,GOGO,hub departure
5447,SFX,SBX,A3XX5N,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-23,Early & Ontime,Economy,Economy,Domestic,2,80+,non-elite,Boomer,ERJ-175,Express,E75,UAX,190,Short,F6,,Domestic,member,GOGO,hub departure
383,IAX,SAX,N8XXVY,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,133,Delayed,Business,,Domestic,2,90+,premier silver,Boomer,B737-800,Mainline,73Y,UA,191,Short,E12,B5,Domestic,member,THALES,hub departure
2034,RNX,SFX,O2XXGH,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Economy,Economy,Domestic,1,90+,non-elite,Boomer,B737-800,Mainline,73Q,UA,192,Short,C5,E11,Domestic,member,THALES,spoke departure
2034,RNX,SFX,PXXXGX,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Business,,Domestic,2,90+,premier platinum,Boomer,B737-800,Mainline,73Q,UA,192,Short,C5,E11,Domestic,member,THALES,spoke departure
5378,ORX,CIX,FNXX7N,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Business,,Domestic,2,90+,premier 1k,Boomer,ERJ-175,Express,E75,UAX,196,Short,F14,,Domestic,member,GOGO,hub departure
4439,DCX,EWX,GLXXS1,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-19,Early & Ontime,Economy,Economy,Domestic,2,80+,,Gen X,CRJ-550,Express,C5G,UAX,199,Short,B10B,A25A,Domestic,non-member,GOGO,spoke departure
3420,EWX,BOX,P8XXDR,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-15,Early & Ontime,Economy,Economy Plus,Domestic,2,80+,,Boomer,ERJ-175,Express,E7F,UAX,200,Short,C88,B28,Domestic,non-member,GOGO,hub departure
4367,CRX,IAX,JMXXR9,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,13,Delayed,Economy,Economy,Domestic,1,90+,premier 1k,Gen X,ERJ-145,Express,XMJ,UAX,201,Short,1,B12,Domestic,member,N/A,spoke departure
4934,IAX,LFX,B7XXY6,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,9,Delayed,Economy,Economy,Domestic,3,90+,non-elite,Boomer,ERJ-145,Express,XMJ,UAX,201,Short,B24,,Domestic,member,N/A,hub departure
4365,IAX,CRX,ARXX74,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,2,Delayed,Economy,Economy,Domestic,2,90+,,Millennial,ERJ-145,Express,XMJ,UAX,201,Short,B18,,Domestic,non-member,N/A,hub departure
597,IAX,EWX,JGXXW1,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-27,Early & Ontime,Economy,Economy,Domestic,2,90+,,Gen X,B737-900,Mainline,37K,UA,213,Short,C25,C83,Domestic,non-member,THALES,hub departure
4559,EWX,ACX,OTXX7W,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-20,Early & Ontime,Economy,Economy,Domestic,1,90+,non-elite,Boomer,CRJ-550,Express,C5G,UAX,218,Short,A25A,,Domestic,non-member,GOGO,hub departure
1279,TVX,ORX,BRXX7B,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-11,Early & Ontime,Business,,Domestic,2,0 to 70,non-elite,Boomer,A319-100,Mainline,19G,UA,224,Short,1,C10A,Domestic,member,VIASAT,spoke departure
6131,DFX,IAX,ATXXKN,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Economy,Economy,Domestic,1,90+,,Boomer,ERJ-175,Express,E7A,UAX,224,Short,E7,A1,Domestic,non-member,GOGO,spoke departure
1891,DFX,IAX,FKXX8D,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,27,Delayed,Economy,Economy,Domestic,1,90+,non-elite,Millennial,A319-100,Mainline,19F,UA,224,Short,E9,C33,Domestic,member,PANASONIC,spoke departure
6070,IAX,RDX,B5XXQP,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-13,Early & Ontime,Business,,Domestic,2,80+,premier 1k,Gen X,ERJ-175,Express,E7A,UAX,224,Short,D8,D19,Domestic,member,GOGO,hub departure
6063,DFX,IAX,OCXXT8,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Business,,Domestic,1,90+,non-elite,Boomer,ERJ-175,Express,E7A,UAX,224,Short,E7,C30,Domestic,member,GOGO,spoke departure
1663,IAX,DFX,D0XXSQ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-20,Early & Ontime,Economy,Economy,Domestic,2,0 to 70,,Millennial,B737-800,Mainline,73Y,UA,224,Short,E14,E6,Domestic,non-member,THALES,hub departure
4460,IAX,LGX,CPXXSR,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,3,Delayed,Business,,Domestic,1,90+,premier gold,Millennial,CRJ-550,Express,C5G,UAX,229,Short,A1C,46,Domestic,member,GOGO,hub departure
5295,DEX,CPX,EBXXW4,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-12,Early & Ontime,Economy,Economy,Domestic,2,90+,non-elite,Millennial,CRJ-200,Express,CRJ,UAX,230,Short,B95,,Domestic,member,N/A,hub departure
3723,DAX,ORX,B8XX2V,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-30,Early & Ontime,Economy,Economy,Domestic,2,90+,non-elite,Millennial,CRJ-200,Express,CRZ,UAX,240,Short,B16,F9,Domestic,member,N/A,spoke departure
4637,DEX,DRX,PZXX7R,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-16,Early & Ontime,Economy,Economy,Domestic,2,90+,,Gen Z,CRJ-200,Express,CRJ,UAX,251,Short,B50,,Domestic,non-member,N/A,hub departure
4688,DEX,DRX,JJXX2C,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-17,Early & Ontime,Economy,Economy,Domestic,2,90+,premier silver,Boomer,CRJ-200,Express,CRJ,UAX,251,Short,B59,,Domestic,member,N/A,hub departure
5396,ORX,STX,D0XXPK,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-29,Early & Ontime,Economy,Economy Plus,Domestic,1,70+,premier gold,Millennial,ERJ-175,Express,E75,UAX,258,Short,B21,A14,Domestic,member,GOGO,hub departure
1724,SBX,SFX,HSXXDE,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-21,Early & Ontime,Business,,Domestic,2,0 to 70,premier silver,Silent,A320-200,Mainline,20S,UA,262,Short,2,F1,Domestic,member,PANASONIC,spoke departure
785,SBX,SFX,ITXXFZ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-3,Early & Ontime,Business,,Domestic,2,0 to 70,premier platinum,Boomer,A319-100,Mainline,19F,UA,262,Short,5C,E7,Domestic,member,PANASONIC,spoke departure
3728,CVX,ORX,FHXX49,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-40,Early & Ontime,Economy,Economy,Domestic,2,90+,,Boomer,CRJ-200,Express,CRZ,UAX,264,Short,A10,F6,Domestic,non-member,N/A,spoke departure
4325,IAX,BUX,HGXX27,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,11,Delayed,Economy,Economy Plus,Domestic,1,90+,premier platinum,Boomer,ERJ-145,Express,XMJ,UAX,284,Short,A4A,10,Domestic,member,N/A,hub departure
4325,IAX,BUX,NVXXKB,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,11,Delayed,Economy,Economy,Domestic,2,90+,,Millennial,ERJ-145,Express,XMJ,UAX,284,Short,A4A,10,Domestic,non-member,N/A,hub departure
3510,EWX,PWX,MFXXVE,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,15,Delayed,Economy,Economy,Domestic,1,90+,,Silent,ERJ-170,Express,E7R,UAX,284,Short,C85,3,Domestic,non-member,GOGO,hub departure
2434,IAX,CLX,AQXX3S,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-16,Early & Ontime,Economy,Economy Plus,Domestic,2,90+,premier 1k,Boomer,B737-800,Mainline,73Y,UA,288,Short,D1,C23,Domestic,member,THALES,hub departure
2616,IAX,SYX,O9XXDS,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-16,Early & Ontime,Economy,Economy Plus,Domestic,1,80+,,Gen Z,A320-200,Mainline,20S,UA,296,Short,D11,26,Domestic,non-member,PANASONIC,hub departure
1093,CMX,ORX,P3XXXT,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,73,Delayed,Economy,Economy Plus,Domestic,1,80+,,Millennial,B737-800,Mainline,73Y,UA,296,Short,B29,C25,Domestic,non-member,THALES,spoke departure
5384,ORX,DSX,EKXXWF,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-12,Early & Ontime,Business,,Domestic,1,90+,premier gold,Boomer,ERJ-175,Express,E7Q,UAX,299,Short,F12,A5B,Domestic,member,GOGO,hub departure
3793,ORX,DSX,FMXX0R,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Economy,Economy,Domestic,1,80+,,Millennial,CRJ-200,Express,CRZ,UAX,299,Short,F5,A5B,Domestic,non-member,N/A,hub departure
4740,DSX,ORX,ORXXNJ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Economy,Economy,Domestic,2,90+,non-elite,Millennial,ERJ-175,Express,E7Q,UAX,299,Short,A5B,C1,Domestic,member,GOGO,spoke departure
1632,RAX,DEX,F3XX07,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,6,Delayed,Economy,Economy,Domestic,2,80+,,Boomer,A319-100,Mainline,19G,UA,301,Short,4,A37,Domestic,non-member,PANASONIC,spoke departure
1529,IAX,MSX,EXXXJ8,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,Economy,Economy,Domestic,2,90+,non-elite,Boomer,B737-800,Mainline,73Y,UA,305,Short,C11,C9,Domestic,member,THALES,hub departure
2184,MSX,IAX,G6XXK1,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,74,Delayed,Economy,Economy,Domestic,2,0 to 70,,Millennial,A320-200,Mainline,20S,UA,305,Short,C9,C43,Domestic,non-member,PANASONIC,spoke departure
1185,IAX,MSX,GDXXFQ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,1,Delayed,Economy,Economy,Domestic,1,80+,non-elite,Millennial,B737-900,Mainline,37K,UA,305,Short,C37,C5,Domestic,member,THALES,hub departure
5153,DEX,GCX,JFXXX1,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-14,Early & Ontime,Economy,Economy,Domestic,2,80+,non-elite,Boomer,CRJ-200,Express,CRJ,UAX,313,Short,B55,,Domestic,member,N/A,hub departure
266,CLX,ORX,G9XXFM,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-14,Early & Ontime,Economy,Economy,Domestic,1,90+,non-elite,Gen X,B737-800,Mainline,73Y,UA,316,Short,C22,B2,Domestic,member,THALES,spoke departure
5290,ORX,CLX,FRXXF0,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,2,Delayed,Economy,Economy,Domestic,1,90+,premier platinum,Millennial,CRJ-700,Express,CR7,UAX,316,Short,F23,C29,Domestic,member,GOGO,hub departure
2295,MFX,IAX,NRXX9K,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-14,Early & Ontime,Economy,Economy,Domestic,2,90+,non-elite,Gen X,A320-200,Mainline,20S,UA,316,Short,4,C36,Domestic,member,PANASONIC,spoke departure
3426,PIX,EWX,LHXX1P,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Economy,Economy Plus,Domestic,1,90+,premier silver,Boomer,ERJ-175,Express,E7F,UAX,319,Short,A12,C87,Domestic,member,GOGO,spoke departure
3509,PIX,EWX,CZXX4D,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-31,Early & Ontime,Economy,Economy,Domestic,2,90+,,Gen X,ERJ-175,Express,E7F,UAX,319,Short,A10,C92,Domestic,non-member,GOGO,spoke departure
3494,PIX,EWX,F5XXNT,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Economy,Economy Plus,Domestic,1,90+,premier platinum,Boomer,ERJ-170,Express,E7R,UAX,319,Short,A8,C94,Domestic,member,GOGO,spoke departure
3911,LEX,ORX,EYXXLV,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-19,Early & Ontime,Economy,Economy,Domestic,2,80+,non-elite,Gen X,CRJ-200,Express,CRZ,UAX,323,Short,A2,F10,Domestic,member,N/A,spoke departure
2360,IAX,BDX,HJXXQP,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-9,Early & Ontime,Business,,Domestic,2,80+,premier silver,Millennial,A319-100,Mainline,19F,UA,326,Short,D19,21,Domestic,member,PANASONIC,hub departure
432,BDX,IAX,HQXX9W,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-20,Early & Ontime,Business,,Domestic,2,80+,non-elite,Gen X,A319-100,Mainline,19F,UA,326,Short,21,D2,Domestic,member,PANASONIC,spoke departure
2360,IAX,BDX,DJXXTW,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-9,Early & Ontime,Economy,Economy,Domestic,2,80+,,Gen X,A319-100,Mainline,19F,UA,326,Short,D19,21,Domestic,non-member,PANASONIC,hub departure
5331,SFX,MFX,G3XXF4,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,5,Satisfied,food & beverage,food and beverage satisfaction,-24,Early & Ontime,Economy,Economy,Domestic,2,80+,,Boomer,ERJ-175,Express,E75,UAX,329,Short,F5,6A,Domestic,non-member,GOGO,hub departure
2420,MFX,SFX,GNXXWZ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-18,Early & Ontime,Economy,Economy,Domestic,2,0 to 70,,Boomer,B737-800,Mainline,73Q,UA,329,Short,5,E11,Domestic,non-member,THALES,spoke departure
2321,ORX,MSX,PNXX3K,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-17,Early & Ontime,Business,,Domestic,2,80+,premier silver,Silent,B737-MAX9,Mainline,37X,UA,334,Short,B14,E6,Domestic,member,VIASAT,hub departure
1963,ORX,MSX,DWXXSR,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,-14,Early & Ontime,Economy,Economy,Domestic,1,90+,non-elite,Boomer,A320-200,Mainline,20S,UA,334,Short,B6,E9,Domestic,member,PANASONIC,hub departure
2329,ORX,MSX,MBXXBF,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,4,Satisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,Business,,Domestic,1,90+,non-elite,Gen Z,A319-100,Mainline,19F,UA,334,Short,B20,E10,Domestic,member,PANASONIC,hub departure
2329,ORX,MSX,BVXX40,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-2,Early & Ontime,Economy,Economy Plus,Domestic,1,90+,non-elite,Millennial,A319-100,Mainline,19F,UA,334,Short,B20,E10,Domestic,member,PANASONIC,hub departure
635,ORX,MSX,ODXXQ9,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,1,Dissatisfied,food & beverage,food and beverage satisfaction,-8,Early & Ontime,Economy,Economy Plus,Domestic,2,80+,premier silver,Boomer,A320-200,Mainline,20S,UA,334,Short,C19,E6,Domestic,member,PANASONIC,hub departure
2321,ORX,MSX,GZXXRJ,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,2,Dissatisfied,food & beverage,food and beverage satisfaction,-17,Early & Ontime,Economy,Economy,Domestic,1,80+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,334,Short,B14,E6,Domestic,member,VIASAT,hub departure
2376,MSX,ORX,LPXX8H,9/1/2022,How satisfied were you with the food & beverage served on your flight from [CITY] to [CITY]?,3,Dissatisfied,food & beverage,food and beverage satisfaction,237,Delayed,Business,,Domestic,1,0 to 70,premier 1k,Gen X,A320-200,Mainline,20S,UA,334,Short,E6,C30,Domestic,member,PANASONIC,spoke departure
